,album,release_date,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
0,'The Story of Light' Epilogue - The 6th Album,2018-09-10,1,6pfTaKhyR5Bj2flqW78idC,All Day All Night,spotify:track:6pfTaKhyR5Bj2flqW78idC,0.091,0.631,0.832,0.0,0.109,-4.349,0.0856,130.022,0.628,38,shinee
1,'The Story of Light' Epilogue - The 6th Album,2018-09-10,2,6mI6dpwRDteVr3ZQsDeD6e,Countless,spotify:track:6mI6dpwRDteVr3ZQsDeD6e,0.0251,0.679,0.829,0.0,0.068,-5.166,0.072,97.043,0.604,49,shinee
2,'The Story of Light' Epilogue - The 6th Album,2018-09-10,3,3mjfQvA5gAV6XnH0ZWnIyI,Good Evening,spotify:track:3mjfQvA5gAV6XnH0ZWnIyI,0.0383,0.678,0.809,0.0,0.243,-4.162,0.0598,119.979,0.561,54,shinee
3,'The Story of Light' Epilogue - The 6th Album,2018-09-10,4,3sIUNOTIvP0AfuKrT3y0l9,Chemistry,spotify:track:3sIUNOTIvP0AfuKrT3y0l9,0.134,0.418,0.797,0.0,0.122,-3.811,0.204,88.096,0.484,37,shinee
4,'The Story of Light' Epilogue - The 6th Album,2018-09-10,5,492SFpum5vh5ZKDP5WAIQk,Electric,spotify:track:492SFpum5vh5ZKDP5WAIQk,0.171,0.722,0.643,0.0,0.229,-4.243,0.12,105.906,0.721,35,shinee
5,'The Story of Light' Epilogue - The 6th Album,2018-09-10,6,4uNSdLUVrv4BN1S9D8NTDz,Who Waits For Love,spotify:track:4uNSdLUVrv4BN1S9D8NTDz,0.0955,0.367,0.761,0.0,0.0886,-4.249,0.117,92.927,0.344,40,shinee
6,'The Story of Light' Epilogue - The 6th Album,2018-09-10,7,2QqH85XScNQ3dXabg3NZE5,Our Page,spotify:track:2QqH85XScNQ3dXabg3NZE5,0.295,0.674,0.752,0.0,0.164,-4.657,0.0326,107.021,0.348,46,shinee
7,'The Story of Light' Epilogue - The 6th Album,2018-09-10,8,6bDGCPL7W0c3C0O9E7QKOb,I Say,spotify:track:6bDGCPL7W0c3C0O9E7QKOb,0.782,0.314,0.368,0.0,0.102,-6.416,0.0313,99.583,0.29,35,shinee
8,'The Story of Light' Epilogue - The 6th Album,2018-09-10,9,18BTIUm7Y9toOJG2UklPeG,Retro,spotify:track:18BTIUm7Y9toOJG2UklPeG,0.0556,0.576,0.782,0.0,0.0638,-5.762,0.19,91.27,0.73,34,shinee
9,'The Story of Light' Epilogue - The 6th Album,2018-09-10,10,4vyX2aMk1HygUxzxHHOSo0,Drive,spotify:track:4vyX2aMk1HygUxzxHHOSo0,0.0608,0.774,0.735,0.0,0.128,-4.141,0.174,109.984,0.769,33,shinee
10,'The Story of Light' Epilogue - The 6th Album,2018-09-10,11,7wNZPLzUKbttcNSyoqELuE,I Want You,spotify:track:7wNZPLzUKbttcNSyoqELuE,0.101,0.719,0.733,0.0,0.27,-4.147,0.0861,123.058,0.514,49,shinee
11,'The Story of Light' Epilogue - The 6th Album,2018-09-10,12,4f33ChV7VFwn8aLn1kdCFZ,Undercover,spotify:track:4f33ChV7VFwn8aLn1kdCFZ,0.118,0.75,0.612,0.0,0.0494,-5.764,0.142,127.795,0.83,35,shinee
13,'The Story of Light' Epilogue - The 6th Album,2018-09-10,14,7AyF9uVZmGLrThGR5gkG6Z,Tonight,spotify:track:7AyF9uVZmGLrThGR5gkG6Z,0.302,0.626,0.715,0.0,0.185,-5.774,0.0468,139.977,0.569,34,shinee
14,'The Story of Light' Epilogue - The 6th Album,2018-09-10,15,7fVUZRfQ33ExAs84yPziNO,You & I,spotify:track:7fVUZRfQ33ExAs84yPziNO,0.266,0.612,0.543,0.0,0.105,-7.315,0.0769,83.967,0.231,37,shinee
15,'The Story of Light' Epilogue - The 6th Album,2018-09-10,16,174GUvl1xbX2VI9XeGwzpv,Lock You Down - Special Track,spotify:track:174GUvl1xbX2VI9XeGwzpv,0.314,0.769,0.769,0.0,0.206,-4.49,0.123,119.967,0.873,34,shinee
19,SHINee THE BEST FROM NOW ON,2018-04-18,4,4FxJdafN586v8E89OMDNFE,Sherlock - Japanese ver.,spotify:track:4FxJdafN586v8E89OMDNFE,0.0338,0.66,0.931,0.0,0.369,-2.751,0.0928,106.968,0.358,25,shinee
20,SHINee THE BEST FROM NOW ON,2018-04-18,5,1bct1N5BDLp7In9R0O2aXR,Dazzling Girl,spotify:track:1bct1N5BDLp7In9R0O2aXR,0.0555,0.67,0.903,0.0,0.697,-2.629,0.0364,129.967,0.765,28,shinee
21,SHINee THE BEST FROM NOW ON,2018-04-18,6,5ZGZhpcqdJGEBZwhGMYnkt,1000年、ずっとそばにいて...,spotify:track:5ZGZhpcqdJGEBZwhGMYnkt,0.0573,0.6,0.884,0.0,0.346,-3.152,0.0446,109.986,0.402,29,shinee
22,SHINee THE BEST FROM NOW ON,2018-04-18,7,0fdWENbDkcR9Lr8XUSFM8a,Fire,spotify:track:0fdWENbDkcR9Lr8XUSFM8a,0.205,0.449,0.85,0.0,0.148,-3.996,0.0429,168.066,0.614,27,shinee
23,SHINee THE BEST FROM NOW ON,2018-04-18,8,7LYb6OuJcmMsBXnBHacrZE,Breaking News,spotify:track:7LYb6OuJcmMsBXnBHacrZE,0.00886,0.623,0.959,0.0,0.0947,-3.405,0.112,123.995,0.608,25,shinee
24,SHINee THE BEST FROM NOW ON,2018-04-18,9,13SBKaDcDhmVkYKDUocBFN,Boys Meet U,spotify:track:13SBKaDcDhmVkYKDUocBFN,0.132,0.805,0.735,0.0,0.212,-3.0,0.0576,117.954,0.965,27,shinee
25,SHINee THE BEST FROM NOW ON,2018-04-18,10,1jHLv2D42l1Z2XROGSNAv7,3 2 1,spotify:track:1jHLv2D42l1Z2XROGSNAv7,0.00402,0.609,0.903,0.0,0.304,-3.124,0.0451,147.987,0.894,26,shinee
29,SHINee THE BEST FROM NOW ON,2018-04-18,14,3o9qNRXL17RTUZQj1x50U2,Your Number,spotify:track:3o9qNRXL17RTUZQj1x50U2,0.0145,0.707,0.908,0.0,0.0708,-3.659,0.127,100.986,0.764,29,shinee
30,SHINee THE BEST FROM NOW ON,2018-04-18,15,3GfQN6MxgV536Ab6VVxT08,Sing Your Song,spotify:track:3GfQN6MxgV536Ab6VVxT08,0.192,0.625,0.795,0.0,0.0718,-3.937,0.0542,75.04,0.801,26,shinee
35,SHINee THE BEST FROM NOW ON,2018-04-18,20,1naapoRLiIo2duWwDE08fL,From Now On,spotify:track:1naapoRLiIo2duWwDE08fL,0.161,0.351,0.384,0.0,0.217,-7.545,0.0306,135.49,0.358,46,shinee
36,FIVE,2017-01-27,1,2gZGXdXqF8t3FvFd6GY7gr,Gentleman,spotify:track:2gZGXdXqF8t3FvFd6GY7gr,0.0916,0.693,0.832,0.0,0.276,-3.683,0.0759,98.057,0.748,25,shinee
37,FIVE,2017-01-27,2,76KJFHRGwCxRBcFkz8SiUZ,Mr. Right Guy,spotify:track:76KJFHRGwCxRBcFkz8SiUZ,0.00672,0.747,0.914,2.47e-06,0.544,-3.695,0.207,115.054,0.723,25,shinee
38,FIVE,2017-01-27,3,0bIXvun44zfnqrfPuGNSz5,ABOAB,spotify:track:0bIXvun44zfnqrfPuGNSz5,0.00178,0.668,0.946,0.0,0.945,-3.696,0.0634,124.039,0.557,26,shinee
39,FIVE,2017-01-27,4,6MqxenMQdreKXWYfQTFGvK,君のせいで,spotify:track:6MqxenMQdreKXWYfQTFGvK,0.000682,0.554,0.914,0.0,0.312,-4.364,0.0517,107.932,0.704,29,shinee
40,FIVE,2017-01-27,5,2Bh1WWf8vMx4r4xnItDhII,Do Me Right,spotify:track:2Bh1WWf8vMx4r4xnItDhII,0.0673,0.508,0.914,0.0,0.112,-3.713,0.17,200.321,0.635,26,shinee
41,FIVE,2017-01-27,6,3WTpchRWYEfuydVpoYy9KF,Become Undone,spotify:track:3WTpchRWYEfuydVpoYy9KF,0.0146,0.594,0.907,0.0,0.579,-4.085,0.0524,164.031,0.587,27,shinee
42,FIVE,2017-01-27,7,7awYNOO9zDB9cCPnSSP4mA,Get The Treasure,spotify:track:7awYNOO9zDB9cCPnSSP4mA,0.0617,0.65,0.904,0.0,0.111,-3.198,0.0685,114.966,0.961,31,shinee
43,FIVE,2017-01-27,8,74P82UYBC8vVW9E2wLUQVl,1 of 1 - Japanese Ver.,spotify:track:74P82UYBC8vVW9E2wLUQVl,0.224,0.705,0.892,0.0,0.0416,-3.752,0.0657,108.017,0.891,25,shinee
44,FIVE,2017-01-27,9,2eZn9iDBfZaXOe7v9FPT1y,Nothing To Lose,spotify:track:2eZn9iDBfZaXOe7v9FPT1y,0.0328,0.57,0.919,0.0,0.172,-3.11,0.0791,110.016,0.77,22,shinee
45,FIVE,2017-01-27,10,1p8QfnGCLFQ5tHoh2RIUfW,Melody,spotify:track:1p8QfnGCLFQ5tHoh2RIUfW,0.0665,0.597,0.725,0.0,0.127,-5.461,0.0364,120.045,0.391,28,shinee
46,FIVE,2017-01-27,11,7nG5y5wDTDtoS5TyH00CqA,Winter Wonderland,spotify:track:7nG5y5wDTDtoS5TyH00CqA,0.156,0.464,0.722,0.0,0.18,-4.513,0.0335,158.062,0.452,28,shinee
47,FIVE,2017-01-27,12,3Q5mg2q5xcdVTXeK6PJotD,Diamond Sky,spotify:track:3Q5mg2q5xcdVTXeK6PJotD,0.0557,0.55,0.807,0.0,0.0849,-4.751,0.0495,127.982,0.422,39,shinee
48,1 and 1 - The 5th Album Repackage,2016-11-15,1,082T4CgUFyV0tjPdzaq6ml,Tell Me What To Do,spotify:track:082T4CgUFyV0tjPdzaq6ml,0.102,0.602,0.926,0.0,0.317,-1.78,0.177,125.107,0.288,51,shinee
49,1 and 1 - The 5th Album Repackage,2016-11-15,2,2kdDQeOdqAjwoEkf6G6wB7,별빛 바램 Wish Upon a Star,spotify:track:2kdDQeOdqAjwoEkf6G6wB7,0.871,0.286,0.277,6.52e-06,0.129,-8.862,0.0322,133.638,0.155,30,shinee
50,1 and 1 - The 5th Album Repackage,2016-11-15,3,1eKRkRXUcc2PTWhD8U6TbC,한마디 Beautiful Life,spotify:track:1eKRkRXUcc2PTWhD8U6TbC,0.387,0.563,0.66,7.71e-06,0.141,-6.128,0.0471,92.071,0.55,32,shinee
51,1 and 1 - The 5th Album Repackage,2016-11-15,4,46b4HhyVbkZSmjIxuhwEOL,Rescue,spotify:track:46b4HhyVbkZSmjIxuhwEOL,0.000606,0.71,0.671,0.0,0.127,-5.743,0.0484,99.97,0.424,29,shinee
52,1 and 1 - The 5th Album Repackage,2016-11-15,5,5ODlbJkw0AApbiBsxrNmVk,If You Love Her,spotify:track:5ODlbJkw0AApbiBsxrNmVk,0.895,0.596,0.327,0.0,0.141,-7.329,0.0253,96.068,0.44,33,shinee
53,1 and 1 - The 5th Album Repackage,2016-11-15,6,2zeporgivVrqDjCnPdG0Gb,Tell Me What To Do - Instrumental,spotify:track:2zeporgivVrqDjCnPdG0Gb,0.0421,0.631,0.902,0.799,0.189,-4.212,0.0353,124.999,0.0891,22,shinee
54,1 and 1 - The 5th Album Repackage,2016-11-15,7,0P3OkG46Y0ltYkuhvAJLbq,별빛 바램 Wish Upon a Star - Instrumental,spotify:track:0P3OkG46Y0ltYkuhvAJLbq,0.939,0.365,0.231,0.887,0.13,-13.391,0.0319,133.734,0.0439,18,shinee
55,1 and 1 - The 5th Album Repackage,2016-11-15,8,30fb74CZOvHVOSO1Tj8XGH,한마디 Beautiful Life - Instrumental,spotify:track:30fb74CZOvHVOSO1Tj8XGH,0.368,0.611,0.539,0.844,0.0959,-9.73,0.0332,91.998,0.253,17,shinee
56,1 and 1 - The 5th Album Repackage,2016-11-15,9,4YVNDWcfiAqsJKSUEiWM58,Rescue - Instrumental,spotify:track:4YVNDWcfiAqsJKSUEiWM58,2.57e-05,0.872,0.6,0.217,0.112,-7.934,0.0337,100.011,0.246,17,shinee
57,1 and 1 - The 5th Album Repackage,2016-11-15,10,0ZpCEsA4JuQjYXOKlBoIui,If You Love Her - Instrumental,spotify:track:0ZpCEsA4JuQjYXOKlBoIui,0.985,0.713,0.195,0.914,0.188,-14.221,0.0479,96.048,0.251,19,shinee
61,1 and 1 - The 5th Album Repackage,2016-11-15,4,4wPVrnXmpMOeB0WtE0V9yP,투명 우산 Don't Let Me Go,spotify:track:4wPVrnXmpMOeB0WtE0V9yP,0.156,0.605,0.919,0.0,0.671,-3.659,0.0579,92.016,0.789,36,shinee
63,1 and 1 - The 5th Album Repackage,2016-11-15,6,44EkZxQmQug34ofXu83tC6,Don't Stop,spotify:track:44EkZxQmQug34ofXu83tC6,0.229,0.785,0.653,4.73e-05,0.0867,-7.726,0.0664,114.933,0.698,25,shinee
67,1 of 1 - The 5th Album,2016-09-29,1,3vm0mFRTYFRmtym8SPHmUq,Prism,spotify:track:3vm0mFRTYFRmtym8SPHmUq,0.284,0.652,0.885,0.0,0.184,-3.148,0.071,138.055,0.888,41,shinee
68,1 of 1 - The 5th Album,2016-09-29,2,6UmRhJatcth1KF76r5ucvZ,1 of 1,spotify:track:6UmRhJatcth1KF76r5ucvZ,0.0635,0.694,0.879,0.0,0.0478,-3.765,0.0515,108.045,0.84,49,shinee
69,1 of 1 - The 5th Album,2016-09-29,3,2BcTKLMXMlPjdhKxlECfCZ,Feel Good,spotify:track:2BcTKLMXMlPjdhKxlECfCZ,0.156,0.639,0.724,0.0,0.0639,-5.47,0.184,109.854,0.382,39,shinee
70,1 of 1 - The 5th Album,2016-09-29,4,0bfd4Rs544zhNmXqSa1Hp9,투명 우산 Don’t Let Me Go,spotify:track:0bfd4Rs544zhNmXqSa1Hp9,0.156,0.605,0.919,0.0,0.671,-3.659,0.0579,92.016,0.789,39,shinee
71,1 of 1 - The 5th Album,2016-09-29,5,1pi18NE7jgf7DSm9yS4q5O,Lipstick,spotify:track:1pi18NE7jgf7DSm9yS4q5O,0.296,0.698,0.816,0.0,0.121,-5.375,0.0672,97.009,0.552,31,shinee
72,1 of 1 - The 5th Album,2016-09-29,6,4AyydjmmNOh7GBrxqXT40l,Don’t Stop,spotify:track:4AyydjmmNOh7GBrxqXT40l,0.229,0.785,0.653,4.73e-05,0.0867,-7.726,0.0664,114.933,0.698,36,shinee
73,1 of 1 - The 5th Album,2016-09-29,7,2HrMPEAoa7ah8UeWuniBhA,SHIFT,spotify:track:2HrMPEAoa7ah8UeWuniBhA,0.116,0.731,0.875,0.0,0.663,-4.689,0.0487,124.973,0.698,38,shinee
74,1 of 1 - The 5th Album,2016-09-29,8,1fPZtMCqUo82XLcQTb5BjK,U Need Me,spotify:track:1fPZtMCqUo82XLcQTb5BjK,0.0134,0.631,0.814,0.0,0.0703,-3.936,0.317,109.604,0.899,29,shinee
75,1 of 1 - The 5th Album,2016-09-29,9,01IsDqqjCIo0VXdgHLwkFX,So Amazing (Special Track),spotify:track:01IsDqqjCIo0VXdgHLwkFX,0.0521,0.672,0.881,0.0,0.227,-3.343,0.0569,110.001,0.838,29,shinee
76,SHINee WORLD IV – The 4th Concert Album,2016-04-20,1,5Q5F6y6yuHd2kJ7Rk8abDO,"SHINee, In the House - Live",spotify:track:5Q5F6y6yuHd2kJ7Rk8abDO,0.553,0.553,0.903,0.00353,0.402,-4.696,0.071,100.014,0.342,24,shinee
77,SHINee WORLD IV – The 4th Concert Album,2016-04-20,2,12KHX4cezUOhjtzs2SmIUs,Sherlock - SHINee WORLD 4 Version / Live,spotify:track:12KHX4cezUOhjtzs2SmIUs,0.0117,0.607,0.97,0.0,0.777,-3.696,0.125,107.031,0.218,27,shinee
78,SHINee WORLD IV – The 4th Concert Album,2016-04-20,3,7gG1m7BBeq93sFtvjvENbL,SHINe (Medusa Ⅰ) - SHINee WORLD 4 Version / Live,spotify:track:7gG1m7BBeq93sFtvjvENbL,0.149,0.63,0.918,0.0,0.54,-3.711,0.0504,101.015,0.37,21,shinee
79,SHINee WORLD IV – The 4th Concert Album,2016-04-20,4,6LtUKITUE2ewYGEarLWHe8,낯선자 Stranger - SHINee WORLD 4 Version / Live,spotify:track:6LtUKITUE2ewYGEarLWHe8,0.0304,0.621,0.945,0.0,0.453,-4.163,0.0623,127.968,0.37,30,shinee
80,SHINee WORLD IV – The 4th Concert Album,2016-04-20,5,10njgTNJxfid3tM7yb6FRi,Picasso - Korean Version / Live,spotify:track:10njgTNJxfid3tM7yb6FRi,0.0055,0.534,0.955,0.0,0.871,-4.38,0.113,128.05,0.281,23,shinee
82,SHINee WORLD IV – The 4th Concert Album,2016-04-20,7,2P5YaMkDdkeugYERZIKnDg,Your Name - Live,spotify:track:2P5YaMkDdkeugYERZIKnDg,0.177,0.57,0.737,1.1e-06,0.911,-5.323,0.0317,89.995,0.534,20,shinee
83,SHINee WORLD IV – The 4th Concert Album,2016-04-20,8,1SqZYcQTykDGoHYqEvz5G5,Your Number - Korean Version / SHINee WORLD 4 Version / Live,spotify:track:1SqZYcQTykDGoHYqEvz5G5,0.00557,0.658,0.945,2.32e-06,0.92,-4.626,0.149,101.018,0.709,21,shinee
84,SHINee WORLD IV – The 4th Concert Album,2016-04-20,9,0ffkZVl4bxpqAkEVfWBQvf,사.계.한 Love Should Go On - SHINee WORLD 4 Version / Live,spotify:track:0ffkZVl4bxpqAkEVfWBQvf,0.471,0.588,0.915,0.0,0.934,-4.113,0.29,99.906,0.285,20,shinee
85,SHINee WORLD IV – The 4th Concert Album,2016-04-20,10,0oMDiYq4WH1QLhPJOXpLjn,사.계.후 Love Still Goes On - SHINee WORLD 4 Version / Live,spotify:track:0oMDiYq4WH1QLhPJOXpLjn,0.107,0.609,0.936,0.0,0.936,-3.067,0.087,114.93,0.473,20,shinee
86,SHINee WORLD IV – The 4th Concert Album,2016-04-20,11,58LydE3vNP7rPPomAU3qLh,닫아줘 Close the Door - Live,spotify:track:58LydE3vNP7rPPomAU3qLh,0.268,0.663,0.674,1.79e-06,0.706,-6.716,0.0321,94.486,0.412,19,shinee
87,SHINee WORLD IV – The 4th Concert Album,2016-04-20,12,4mRmzcMl35PBEPOoEDJnNi,알람시계 (Alarm Clock) - SHINee WORLD 4 Version / Live,spotify:track:4mRmzcMl35PBEPOoEDJnNi,0.0438,0.662,0.896,1.54e-05,0.847,-5.912,0.0658,94.016,0.541,20,shinee
88,SHINee WORLD IV – The 4th Concert Album,2016-04-20,13,1NVhiWxLRAueGsYJFvaPE4,Excuse Me Miss - SHINee WORLD 4 Version / Live,spotify:track:1NVhiWxLRAueGsYJFvaPE4,0.0557,0.675,0.904,0.0,0.918,-4.184,0.122,92.942,0.54,35,shinee
89,SHINee WORLD IV – The 4th Concert Album,2016-04-20,14,5LNS7avx8JzwaKdMzu8UwP,1분만 One Minute Back - Live,spotify:track:5LNS7avx8JzwaKdMzu8UwP,0.0471,0.605,0.935,0.0,0.309,-4.574,0.148,96.997,0.461,19,shinee
90,SHINee WORLD IV – The 4th Concert Album,2016-04-20,15,0qttp3IATYoKEaxI95gXQJ,Colorful - Live,spotify:track:0qttp3IATYoKEaxI95gXQJ,0.0367,0.619,0.983,0.0,0.829,-4.509,0.133,122.048,0.491,20,shinee
91,SHINee WORLD IV – The 4th Concert Album,2016-04-20,16,2TtjuYhstPzvtEZGuvbcQq,JoJo - Live,spotify:track:2TtjuYhstPzvtEZGuvbcQq,0.083,0.678,0.942,0.0,0.838,-5.196,0.0583,126.046,0.691,24,shinee
92,SHINee WORLD IV – The 4th Concert Album,2016-04-20,17,5ov59odzVfZe24Hl8q0nRe,Love Sick - Live,spotify:track:5ov59odzVfZe24Hl8q0nRe,0.267,0.649,0.901,0.0,0.659,-4.829,0.0636,98.981,0.579,19,shinee
93,SHINee WORLD IV – The 4th Concert Album,2016-04-20,18,5eqVHTNZAHw9ljTlgUfJZs,하나 One - Live,spotify:track:5eqVHTNZAHw9ljTlgUfJZs,0.524,0.585,0.593,0.0,0.272,-5.909,0.0324,128.015,0.478,20,shinee
94,SHINee WORLD IV – The 4th Concert Album,2016-04-20,19,0fAbcM5ooLzoSBH9X5IdSk,버리고 가 Better Off - Live,spotify:track:0fAbcM5ooLzoSBH9X5IdSk,0.108,0.629,0.752,0.0,0.697,-6.899,0.051,85.004,0.381,20,shinee
95,SHINee WORLD IV – The 4th Concert Album,2016-04-20,20,14qLzoZjlSpaAJnkyVqzML,너의 노래가 되어 An Ode To You - Live,spotify:track:14qLzoZjlSpaAJnkyVqzML,0.75,0.507,0.289,0.0,0.386,-9.82,0.0296,87.925,0.121,19,shinee
96,SHINee WORLD IV – The 4th Concert Album,2016-04-20,1,25xyVjNnwnLpzvIW7QDaGZ,WOWOWOW - Live,spotify:track:25xyVjNnwnLpzvIW7QDaGZ,0.0651,0.707,0.867,0.0,0.923,-4.386,0.134,91.899,0.553,19,shinee
97,SHINee WORLD IV – The 4th Concert Album,2016-04-20,2,3O6miWJBZGw2Xe9tKDJA10,Woof Woof - SHINee WORLD 4 Version / Live,spotify:track:3O6miWJBZGw2Xe9tKDJA10,0.0241,0.634,0.951,0.0,0.854,-4.085,0.113,117.935,0.539,20,shinee
